003	
.	
Too	
Dear	dear
for	
the	
Whistle	whistle
\n	
When	when
I	
was	be
a	
child	child
of	
seven	
years	year
old	old
,	
my	
friends	friend
,	
on	
a	
holiday	holiday
,	
filled	fill
my	
pocket	pocket
with	
coppers	copper
.	
\n	
I	
went	go
at	
once	once
to	
a	
shop	shop
where	where
they	
sold	sell
toys	toy
for	
children	child
.	
\n	
Being	be
charmed	charm
with	
the	
sound	sound
of	
a	
whistle	whistle
that	
I	
had	have
seen	see
by	
the	
way	way
,	
\n	
in	
the	
hands	hand
of	
another	
boy	boy
,	
I	
handed	hand
over	
all	
my	
money	money
for	
one	
.	
\n	
I	
then	then
came	come
home	home
,	
and	
went	go
whistling	whistle
all	
over	
the	
house	house
,	
much	much
pleased	please
with	
my	
whistle	whistle
,	
\n	
but	
disturbing	disturb
all	
the	
family	family
.	
My	
brothers	brother
and	
sisters	sister
and	
cousins	cousin
,	
\n	
when	when
I	
told	tell
of	
the	
bargain	bargain
I	
had	have
made	make
,	
said	say
I	
had	have
given	give
four	
times	time
as	as
much	much
as	
the	
whistle	whistle
was	be
worth	worth
.	
\n	
They	
put	put
me	
in	
mind	mind
of	
what	
good	good
things	thing
I	
might	might
have	have
bought	buy
with	
the	
rest	rest
of	
the	
money	money
,	
\n	
and	
laughed	laugh
at	
me	
so	so
much	much
for	
my	
folly	folly
that	
I	
cried	cry
with	
vexation	vexation
.	
\n	
Thinking	think
about	
the	
matter	matter
gave	give
me	
more	more
chagrin	chagrin
than	
the	
whistle	whistle
gave	give
me	
pleasure	pleasure
.	
\n	
This	
,	
however	however
,	
was	be
afterwards	afterwards
of	
use	use
to	
me	
,	
for	
the	
impression	impression
continued	continue
on	
my	
mind	mind
,	
\n	
so	
that	
often	often
,	
when	when
I	
was	be
tempted	tempt
to	
buy	buy
something	something
I	
did	do
not	not
need	need
,	
I	
said	say
to	
myself	
,	
\n	
“	
Don	
’	
t	t
give	give
too	too
much	much
for	
the	
whistle	whistle
,	
”	
and	
I	
saved	save
my	
money	money
.	
\n	
As	
I	
grew	grow
up	
,	
came	come
into	
the	
world	world
,	
and	
observed	observe
the	
actions	action
of	
men	men
,	
\n	
I	
thought	think
I	
met	meet
with	
many	many
,	
very	very
many	many
,	
who	
“	
gave	give
too	too
much	much
for	
the	
whistle	whistle
.	
”	
\n	
When	when
I	
saw	saw
some	
men	men
too	too
eager	eager
for	
a	
court	court
favour	favour
,	
wasting	waste
his	
time	time
at	
court	court
gatherings	gathering
,	
\n	
giving	give
up	
his	
rest	rest
,	
his	
liberty	liberty
,	
his	
virtue	virtue
,	
and	
perhaps	perhaps
his	
friends	friend
,	
for	
royal	royal
favour	favour
,	
\n	
I	
said	say
to	
myself	myself
-	
“	
This	
man	man
gives	give
too	too
much	much
for	
the	
whistle	whistle
.	
”	
\n	
When	when
I	
saw	saw
another	
fond	fond
of	
popularity	popularity
,	
constantly	constantly
taking	take
part	part
in	
political	political
affairs	affair
,	
\n	
neglecting	neglect
his	
own	own
business	business
,	
and	
ruining	ruin
it	
by	
neglect	neglect
,	
“	
He	
pays	pay
,	
indeed	indeed
,	
”	
said	say
I	
,	
“	
too	too
dear	dear
for	
his	
whistle	whistle
.	
”	
\n	
If	
I	
knew	know
a	
miser	miser
who	
gave	give
up	
every	
kind	kind
of	
comfortable	comfortable
living	living
,	
\n	
all	
the	
pleasure	pleasure
of	
doing	do
good	good
to	
others	
,	
all	
the	
esteem	esteem
of	
his	
fellow	fellow
citizens	citizen
and	
the	
joys	joy
of	
friendship	friendship
,	
\n	
for	
the	
sake	sake
of	
gathering	gathering
and	
keeping	keep
wealth	wealth
-	
“	
Poor	poor
man	man
,	
”	
said	say
I	
,	
\n	
“	
you	
pay	pay
too	too
dear	dear
for	
your	
whistle	whistle
.	
”	
When	when
I	
met	meet
a	
man	man
of	
pleasure	pleasure
,	
\n	
who	
did	do
not	not
try	try
to	
improve	improve
his	
mind	mind
or	
his	
fortune	fortune
but	
merely	merely
devoted	devote
himself	
to	
having	have
a	
good	good
time	time
,	
\n	
perhaps	perhaps
neglecting	neglect
his	
health	health
,	
“	
Mistaken	mistaken
man	man
,	
”	
said	say
I	
,	
“	
you	
are	be
providing	provide
pain	pain
for	
yourself	yourself
,	
\n	
instead	instead
of	
pleasure	pleasure
;	
you	
are	be
paying	pay
too	too
dear	dear
for	
your	
whistle	whistle
.	
”	
\n	
If	
I	
saw	saw
someone	someone
fond	fond
of	
appearance	appearance
who	
had	have
fine	fine
clothes	clothes
,	
fine	fine
houses	house
,	
fine	fine
furniture	furniture
,	
fine	fine
earrings	earring
,	
\n	
all	
above	
his	
fortune	fortune
,	
and	
for	
which	
he	
had	have
run	run
into	
debt	debt
,	
and	
ends	end
his	
career	career
in	
a	
prison	prison
.	
\n	
“	
Alas	ala
,	
”	
said	say
I	
,	
“	
he	
has	have
paid	pay
dear	dear
,	
very	very
dear	dear
,	
for	
his	
whistle	whistle
.	
”	
\n	
In	
short	short
the	
miseries	misery
of	
mankind	mankind
are	be
largely	largely
due	due
to	
their	
putting	put
a	
false	false
value	value
on	
things	thing
-	
\n	
to	
giving	give
“	
too	too
much	much
for	
their	
whistles	whistle
”	
.	
\n	
