055	
.	
Gettysburg	gettysburg
Address	address
\n	
Fourscore	fourscore
and	
seven	
years	year
ago	ago
,	
our	
fathers	father
brought	bring
forth	forth
on	
this	
continent	continent
a	
new	new
nation	nation
,	
conceived	conceive
in	
liberty	liberty
,	
\n	
and	
dedicated	dedicate
to	
the	
proposition	proposition
that	
all	
men	men
are	be
created	create
equal	equal
.	
\n	
Now	now
,	
we	
are	be
engaged	engage
in	
a	
great	great
civil	civil
war	war
,	
testing	test
whether	
that	
nation	nation
,	
\n	
or	
any	
nation	nation
so	so
conceived	
and	
so	so
dedicated	dedicated
,	
can	can
long	long
endure	endure
.	
We	
are	be
met	meet
on	
a	
great	great
battlefield	battlefield
of	
that	
war	war
.	
\n	
We	
have	have
come	come
to	
dedicate	dedicate
a	
portion	portion
of	
that	
field	field
as	
a	
final	final
resting-place	
for	
those	
\n	
who	
here	here
gave	give
their	
lives	life
that	
that	
nation	nation
might	might
live	live
.	
It	
is	be
altogether	altogether
fitting	fitting
and	
proper	proper
that	
we	
should	should
do	do
this	
.	
\n	
But	
,	
in	
a	
larger	large
sense	sense
,	
we	
cannot	cannot
dedicate	dedicate
-	
we	
cannot	cannot
consecrate	consecrate
-	
we	
cannot	cannot
hallow	hallow
-	
\n	
this	
ground	ground
.	
The	
brave	brave
men	men
,	
living	living
and	
dead	dead
,	
who	
struggled	struggle
here	here
,	
\n	
have	have
consecrated	consecrate
it	
far	far
above	
our	
power	power
to	
add	add
or	
detract	detract
.	
\n	
The	
world	world
will	will
little	little
note	note
nor	
long	long
remember	remember
what	
we	
say	say
here	here
,	
\n	
but	
it	
can	can
never	never
forget	forget
what	
they	
did	do
here	here
.	
\n	
It	
is	be
for	
us	
,	
the	
living	living
,	
rather	rather
,	
\n	
to	
be	be
dedicated	dedicate
here	here
to	
the	
unfinished	unfinished
work	work
which	
they	
who	
fought	fight
here	here
have	have
thus	thus
far	far
so	so
nobly	nobly
advanced	advanced
.	
\n	
It	
is	be
rather	rather
for	
us	
to	
be	be
here	here
dedicated	dedicate
to	
the	
great	great
task	task
remaining	remain
before	
us	
-	
\n	
that	
from	
these	
honored	honor
dead	dead
we	
take	take
increased	increased
devotion	devotion
to	
that	
cause	cause
\n	
for	
which	
they	
gave	give
the	
last	last
full	full
measure	measure
of	
devotion	devotion
;	
that	
we	
here	here
highly	highly
resolve	resolve
that	
these	
dead	dead
shall	shall
not	not
\n	
have	have
died	die
in	
vain	vain
;	
that	
this	
nation	nation
,	
under	
God	god
,	
shall	shall
have	have
a	
new	new
birth	birth
of	
freedom	freedom
;	
\n	
and	
that	
government	government
of	
the	
people	people
,	
by	
the	
people	people
,	
and	
for	
the	
people	people
,	
shall	shall
not	not
perish	perish
from	
the	
earth	earth
.	
\n	
