013	
.	
The	
Story	story
of	
Life	life
\n	
Sometimes	sometimes
people	people
come	come
into	
your	
life	life
and	
you	
come	come
to	
realize	realize
that	
they	
were	be
meant	mean
to	
be	be
there	there
,	
\n	
to	
serve	serve
some	
sort	sort
of	
purpose	purpose
,	
teach	teach
you	
a	
lesson	lesson
,	
or	
to	
help	help
you	
figure	figure
out	
who	
you	
are	be
or	
who	
you	
want	want
to	
become	become
.	
\n	
You	
never	never
know	know
who	
these	
people	people
may	may
be	be
(	
possibly	possibly
your	
roommate	roommate
,	
neighbor	neighbor
,	
co-worker	
,	
\n	
long-lost	
friend	friend
,	
lover	lover
,	
or	
even	even
a	
complete	complete
stranger	stranger
)	
,	
but	
when	when
you	
lock	lock
eyes	eye
with	
them	
,	
\n	
you	
know	know
in	
an	
instant	instant
that	
they	
will	will
affect	affect
your	
life	life
in	
some	
profound	profound
way	way
.	
\n	
And	
sometimes	sometimes
things	thing
happen	happen
to	
you	
that	
may	may
seem	seem
horrible	horrible
,	
painful	painful
,	
\n	
and	
unfair	unfair
at	
first	first
,	
but	
in	
reflection	reflection
you	
find	find
that	
without	
overcoming	overcome
those	
obstacles	obstacle
\n	
you	
would	would
have	have
never	never
realized	realize
your	
potential	potential
,	
strength	strength
,	
willpower	
or	
heart	heart
.	
\n	
Everything	everything
happens	happen
for	
a	
reason	reason
.	
Nothing	nothing
happens	happen
by	
chance	chance
or	
by	
means	mean
of	
good	good
luck	luck
.	
\n	
Illness	illness
,	
injury	injury
,	
love	love
,	
brilliant	brilliant
achievements	achievement
,	
and	
sheer	sheer
stupidity	stupidity
all	
occur	occur
to	
test	test
the	
limits	limit
of	
your	
soul	soul
.	
\n	
Without	
these	
small	small
tests	test
,	
whatever	
they	
may	may
be	be
,	
life	life
would	would
be	be
like	
a	
smoothly	smoothly
paved	pave
,	
straight	straight
,	
flat	flat
road	road
to	
nowhere	nowhere
.	
\n	
It	
would	would
be	be
safe	safe
and	
comfortable	comfortable
,	
but	
dull	dull
and	
utterly	utterly
pointless	pointless
.	
\n	
The	
people	people
you	
meet	meet
who	
affect	affect
your	
life	life
,	
and	
the	
success	success
and	
downfalls	downfall
you	
experience	experience
,	
\n	
help	help
to	
create	create
who	
you	
are	be
and	
who	
you	
become	become
.	
\n	
Even	even
the	
bad	bad
experiences	experience
can	can
be	be
learned	learn
from	
.	
In	
fact	fact
,	
they	
are	be
probably	probably
the	
most	most
poignant	poignant
and	
important	important
ones	one
.	
\n	
If	
someone	someone
hurts	hurt
you	
,	
betrays	betray
you	
,	
or	
breaks	break
your	
heart	heart
,	
forgive	forgive
them	
,	
\n	
for	
they	
have	have
helped	help
you	
learn	learn
about	
trust	trust
and	
the	
importance	importance
of	
being	be
cautious	cautious
when	when
you	
open	open
your	
heart	heart
.	
\n	
If	
someone	someone
loves	love
you	
,	
love	love
them	
back	back
unconditionally	unconditionally
,	
not	not
only	only
because	
they	
love	love
you	
,	
but	
because	because
in	
a	
way	way
,	
\n	
they	
are	be
teaching	teach
you	
to	
love	love
and	
how	how
to	
open	open
your	
heart	heart
and	
eyes	eye
to	
things	thing
.	
\n	
Make	make
every	
day	day
count	count
.	
Appreciate	appreciate
every	
moment	moment
and	
take	take
from	
those	
moments	moment
everything	everything
that	
you	
possibly	possibly
can	can
,	
\n	
for	
you	
may	may
never	never
be	be
able	able
to	
experience	experience
it	
again	again
.	
\n	
Talk	talk
to	
people	people
that	
you	
have	have
never	never
talked	talk
to	
before	
,	
and	
actually	actually
listen	listen
.	
Let	let
yourself	
fall	fall
in	
love	love
,	
\n	
break	break
free	free
,	
and	
set	set
your	
sights	sight
high	high
.	
Hold	hold
your	
head	head
up	up
because	
you	
have	have
every	
right	right
to	
.	
\n	
Tell	tell
yourself	
you	
are	be
a	
great	great
individual	individual
and	
believe	believe
in	
yourself	
,	
for	
if	
you	
don	
’	
t	t
believe	believe
in	
yourself	
,	
\n	
it	
will	will
be	be
hard	hard
for	
others	
to	
believe	believe
in	
you	
.	
\n	
You	
can	can
make	make
of	
your	
life	life
anything	anything
you	
wish	wish
.	
\n	
Create	create
your	
own	own
life	life
and	
then	then
go	go
out	
and	
live	live
it	
with	
absolutely	absolutely
no	
regrets	regret
.	
\n	
Most	most
importantly	importantly
,	
if	
you	
LOVE	love
someone	someone
tell	tell
him	
or	
her	
,	
for	
you	
never	never
know	know
what	
tomorrow	tomorrow
may	may
have	have
in	
store	store
.	
\n	
