010	
.	
The	
Smile	smile
\n	
I	
was	be
sure	sure
that	
I	
was	be
to	
be	be
killed	kill
.	
I	
became	become
terribly	terribly
nervous	nervous
.	
\n	
I	
fumbled	fumble
in	
my	
pockets	pocket
to	
see	see
if	
there	
were	be
any	
cigarettes	cigarette
,	
which	
had	have
escaped	escape
their	
search	search
.	
\n	
I	
found	find
one	
and	
because	
of	
my	
shaking	shake
hands	hand
,	
I	
could	could
barely	barely
get	get
it	
to	
my	
lips	lip
.	
But	
I	
had	have
no	
matches	match
,	
\n	
they	
had	have
taken	take
those	
.	
I	
looked	look
through	
the	
bars	bar
at	
my	
jailer	jailer
.	
He	
did	do
not	not
make	make
eye	eye
contact	contact
with	
me	
.	
\n	
I	
called	call
out	
to	
him	
,	
“	
Have	have
you	
got	get
a	
light	light
?	
”	
He	
looked	look
at	
me	
,	
shrugged	shrug
and	
came	come
over	
to	
light	light
my	
cigarette	cigarette
.	
\n	
As	
he	
came	come
close	close
and	
lit	light
the	
match	match
,	
his	
eyes	eye
inadvertently	inadvertently
locked	lock
with	
mine	mine
.	
\n	
At	
that	
moment	moment
,	
I	
smiled	smile
.	
I	
don	
’	
t	t
know	know
why	why
I	
did	do
that	
.	
\n	
Perhaps	perhaps
it	
was	be
nervousness	nervousness
,	
perhaps	perhaps
it	
was	be
because	because
,	
when	when
you	
get	get
very	very
close	close
,	
one	
to	
another	
,	
\n	
it	
is	be
very	very
hard	hard
not	not
to	
smile	smile
.	
In	
any	
case	case
,	
I	
smiled	smile
.	
\n	
In	
that	
instant	instant
,	
it	
was	be
as	
though	
a	
spark	spark
jumped	jump
across	
the	
gap	gap
between	
our	
two	
hearts	heart
,	
\n	
our	
two	
human	human
souls	soul
.	
I	
know	know
he	
didn	
’	
t	t
want	want
to	
,	
but	
my	
smile	smile
leaped	leap
through	
the	
bars	bar
and	
generated	generate
a	
smile	smile
on	
his	
lips	lip
,	
too	too
.	
\n	
He	
lit	light
my	
cigarette	cigarette
but	
stayed	stay
near	
,	
looking	look
at	
me	
directly	directly
in	
the	
eyes	eye
and	
continuing	continue
to	
smile	smile
.	
\n	
I	
kept	keep
smiling	smile
at	
him	
,	
now	now
aware	aware
of	
him	
as	
a	
person	person
and	
not	not
just	just
a	
jailer	jailer
.	
\n	
And	
his	
looking	look
at	
me	
seemed	seem
to	
have	have
a	
new	new
dimension	dimension
too	too
.	
\n	
“	
Do	do
you	
have	have
kids	kid
?	
”	
he	
asked	ask
.	
\n	
“	
Yes	yes
,	
here	here
,	
here	here
.	
”	
\n	
I	
took	take
out	
my	
wallet	wallet
and	
nervously	nervously
fumbled	fumble
for	
the	
pictures	picture
of	
my	
family	family
.	
\n	
He	
,	
too	too
,	
took	take
out	
the	
pictures	picture
of	
his	
family	family
and	
began	begin
to	
talk	talk
about	
his	
plans	plan
and	
hopes	hope
for	
them	
.	
\n	
My	
eyes	eye
filled	fill
with	
tears	tear
.	
I	
said	say
that	
I	
feared	fear
that	
I	
’	
d	d
never	never
see	see
my	
family	family
again	again
,	
\n	
never	never
have	have
the	
chance	chance
to	
see	see
them	
grow	grow
up	
.	
Tears	tear
came	come
to	
his	
eyes	eye
,	
too	too
.	
\n	
Suddenly	suddenly
,	
without	
another	
word	word
,	
he	
unlocked	unlock
my	
cell	cell
and	
silently	silently
led	lead
me	
out	
.	
\n	
Out	
of	
the	
jail	jail
,	
quietly	quietly
and	
by	
back	back
routes	route
,	
out	
of	
the	
town	town
.	
\n	
There	
,	
at	
the	
edge	edge
of	
town	town
,	
he	
released	release
me	
.	
And	
without	
another	
word	word
,	
he	
turned	turn
back	back
toward	
the	
town	town
.	
\n	
My	
life	life
was	be
saved	save
by	
a	
smile	smile
.	
Yes	
,	
the	
smile	smile
-	
the	
unaffected	unaffected
,	
unplanned	
,	
natural	natural
connection	connection
between	
people	people
.	
\n	
I	
really	really
believe	believe
that	
if	
that	
part	part
of	
you	
and	
that	
part	part
of	
me	
could	could
recognize	recognize
each	
other	other
,	
we	
wouldn	
’	
t	t
be	be
enemies	enemy
.	
\n	
We	
couldn	
’	
t	t
have	have
hate	hate
or	
envy	envy
or	
fear	fear
.	
\n	
